Epoch: [0][0/2], lr: 0.00010	Time 20.592 (20.592)	Data 11.286 (11.286)	Loss 2.4836 (2.4836)	Prec@1 2.484 (2.484)	Prec@5 2.484 (2.484)
Epoch: [1][0/2], lr: 0.00010	Time 11.161 (11.161)	Data 10.270 (10.270)	Loss 2.4749 (2.4749)	Prec@1 2.475 (2.475)	Prec@5 2.475 (2.475)
Epoch: [2][0/2], lr: 0.00010	Time 9.706 (9.706)	Data 9.221 (9.221)	Loss 2.4492 (2.4492)	Prec@1 2.449 (2.449)	Prec@5 2.449 (2.449)
Epoch: [3][0/2], lr: 0.00010	Time 9.392 (9.392)	Data 8.923 (8.923)	Loss 2.4461 (2.4461)	Prec@1 2.446 (2.446)	Prec@5 2.446 (2.446)
Epoch: [4][0/2], lr: 0.00010	Time 9.728 (9.728)	Data 9.244 (9.244)	Loss 2.4575 (2.4575)	Prec@1 2.458 (2.458)	Prec@5 2.458 (2.458)
Test: [0/1]	Time 7.314 (7.314)	Loss 2.4528 (2.4528)	Prec@1 2.453 (2.453)	Prec@5 2.453 (2.453)
Testing Results: Prec@1 2.453 Prec@5 2.453 Loss 2.45283 
Best Prec@1: 0.000
Epoch: [5][0/2], lr: 0.00010	Time 10.189 (10.189)	Data 9.266 (9.266)	Loss 2.4181 (2.4181)	Prec@1 2.418 (2.418)	Prec@5 2.418 (2.418)
Epoch: [6][0/2], lr: 0.00010	Time 8.486 (8.486)	Data 7.985 (7.985)	Loss 2.4047 (2.4047)	Prec@1 2.405 (2.405)	Prec@5 2.405 (2.405)
Epoch: [7][0/2], lr: 0.00010	Time 8.899 (8.899)	Data 8.399 (8.399)	Loss 2.4087 (2.4087)	Prec@1 2.409 (2.409)	Prec@5 2.409 (2.409)
Epoch: [8][0/2], lr: 0.00010	Time 8.126 (8.126)	Data 7.642 (7.642)	Loss 2.3721 (2.3721)	Prec@1 2.372 (2.372)	Prec@5 2.372 (2.372)
Epoch: [9][0/2], lr: 0.00010	Time 8.110 (8.110)	Data 7.626 (7.626)	Loss 2.4110 (2.4110)	Prec@1 2.411 (2.411)	Prec@5 2.411 (2.411)
Test: [0/1]	Time 3.250 (3.250)	Loss 2.4037 (2.4037)	Prec@1 2.404 (2.404)	Prec@5 2.404 (2.404)
Testing Results: Prec@1 2.404 Prec@5 2.404 Loss 2.40370 
Best Prec@1: 2.453
Epoch: [10][0/2], lr: 0.00010	Time 8.001 (8.001)	Data 7.501 (7.501)	Loss 2.4202 (2.4202)	Prec@1 2.420 (2.420)	Prec@5 2.420 (2.420)
Epoch: [11][0/2], lr: 0.00010	Time 7.798 (7.798)	Data 7.297 (7.297)	Loss 2.4191 (2.4191)	Prec@1 2.419 (2.419)	Prec@5 2.419 (2.419)
Epoch: [12][0/2], lr: 0.00010	Time 7.737 (7.737)	Data 7.253 (7.253)	Loss 2.3470 (2.3470)	Prec@1 2.347 (2.347)	Prec@5 2.347 (2.347)
Epoch: [13][0/2], lr: 0.00010	Time 7.485 (7.485)	Data 7.000 (7.000)	Loss 2.3557 (2.3557)	Prec@1 2.356 (2.356)	Prec@5 2.356 (2.356)
Epoch: [14][0/2], lr: 0.00010	Time 7.025 (7.025)	Data 6.540 (6.540)	Loss 2.3367 (2.3367)	Prec@1 2.337 (2.337)	Prec@5 2.337 (2.337)
Test: [0/1]	Time 3.234 (3.234)	Loss 2.3593 (2.3593)	Prec@1 2.359 (2.359)	Prec@5 2.359 (2.359)
Testing Results: Prec@1 2.359 Prec@5 2.359 Loss 2.35932 
Best Prec@1: 2.453
Epoch: [15][0/2], lr: 0.00010	Time 6.954 (6.954)	Data 6.469 (6.469)	Loss 2.3837 (2.3837)	Prec@1 2.384 (2.384)	Prec@5 2.384 (2.384)
Epoch: [16][0/2], lr: 0.00010	Time 6.863 (6.863)	Data 6.363 (6.363)	Loss 2.3531 (2.3531)	Prec@1 2.353 (2.353)	Prec@5 2.353 (2.353)
Epoch: [17][0/2], lr: 0.00010	Time 6.188 (6.188)	Data 5.704 (5.704)	Loss 2.3343 (2.3343)	Prec@1 2.334 (2.334)	Prec@5 2.334 (2.334)
Epoch: [18][0/2], lr: 0.00010	Time 6.391 (6.391)	Data 5.891 (5.891)	Loss 2.3137 (2.3137)	Prec@1 2.314 (2.314)	Prec@5 2.314 (2.314)
Epoch: [19][0/2], lr: 0.00010	Time 6.611 (6.611)	Data 6.126 (6.126)	Loss 2.3189 (2.3189)	Prec@1 2.319 (2.319)	Prec@5 2.319 (2.319)
Test: [0/1]	Time 3.141 (3.141)	Loss 2.3215 (2.3215)	Prec@1 2.322 (2.322)	Prec@5 2.322 (2.322)
Testing Results: Prec@1 2.322 Prec@5 2.322 Loss 2.32154 
Best Prec@1: 2.453
Epoch: [20][0/2], lr: 0.00010	Time 6.251 (6.251)	Data 5.751 (5.751)	Loss 2.3071 (2.3071)	Prec@1 2.307 (2.307)	Prec@5 2.307 (2.307)
Epoch: [21][0/2], lr: 0.00010	Time 5.938 (5.938)	Data 5.454 (5.454)	Loss 2.2962 (2.2962)	Prec@1 2.296 (2.296)	Prec@5 2.296 (2.296)
Epoch: [22][0/2], lr: 0.00010	Time 5.534 (5.534)	Data 5.049 (5.049)	Loss 2.3079 (2.3079)	Prec@1 2.308 (2.308)	Prec@5 2.308 (2.308)
Epoch: [23][0/2], lr: 0.00010	Time 5.766 (5.766)	Data 5.282 (5.282)	Loss 2.2814 (2.2814)	Prec@1 2.281 (2.281)	Prec@5 2.281 (2.281)
Epoch: [24][0/2], lr: 0.00010	Time 5.923 (5.923)	Data 5.423 (5.423)	Loss 2.3062 (2.3062)	Prec@1 2.306 (2.306)	Prec@5 2.306 (2.306)
Test: [0/1]	Time 3.140 (3.140)	Loss 2.2925 (2.2925)	Prec@1 2.293 (2.293)	Prec@5 2.293 (2.293)
Testing Results: Prec@1 2.293 Prec@5 2.293 Loss 2.29251 
Best Prec@1: 2.453
Epoch: [25][0/2], lr: 0.00010	Time 6.210 (6.210)	Data 5.710 (5.710)	Loss 2.3107 (2.3107)	Prec@1 2.311 (2.311)	Prec@5 2.311 (2.311)
Epoch: [26][0/2], lr: 0.00010	Time 5.688 (5.688)	Data 5.203 (5.203)	Loss 2.2782 (2.2782)	Prec@1 2.278 (2.278)	Prec@5 2.278 (2.278)
Epoch: [27][0/2], lr: 0.00010	Time 5.692 (5.692)	Data 5.192 (5.192)	Loss 2.2896 (2.2896)	Prec@1 2.290 (2.290)	Prec@5 2.290 (2.290)
